id,gender,age,region,ideology,q1,q2,q3,wt
69,남성,52,충청,9,2,1,4,1.082
70,남성,34,충청,2,3,2,1,0.772
71,남성,76,강원·제주,-9,4,5,1,2.027
72,남성,60,호남,-9,1,1,1,1.201
73,여성,23,강원·제주,8,5,4,5,0.998
74,여성,48,서울,-9,1,5,2,0.68
75,남성,51,호남,10,4,3,2,2.068
76,남성,71,강원·제주,5,5,1,1,2.042
77,여성,59,영남,5,5,-9,1,1.041
78,남성,79,강원·제주,9,5,-9,-9,1.964
79,남성,64,서울,7,2,5,4,0.592
80,남성,19,충청,4,-9,2,1,1.155
81,남성,25,충청,1,3,4,3,0.827
82,여성,49,충청,1,1,3,4,0.782
83,여성,29,경기·인천,9,5,5,5,1.315
84,여성,63,호남,8,5,3,4,1.539
85,남성,47,강원·제주,0,1,5,3,1.822
86,남성,63,영남,8,5,3,5,0.775
87,여성,52,영남,5,2,4,1,0.582
88,남성,30,호남,2,2,5,1,0.599
89,여성,26,충청,10,2,1,1,1.695
90,남성,48,서울,3,5,3,1,0.547
91,남성,28,서울,8,4,2,4,1.119
92,남성,47,호남,1,4,1,5,1.291
93,여성,25,경기·인천,-9,5,3,4,1.736
94,남성,42,서울,10,5,4,5,0.928
95,남성,52,서울,4,3,3,5,1.151
96,여성,71,충청,9,2,3,1,1.524
97,여성,60,호남,10,3,4,4,1.393
98,여성,41,무응답,5,4,-9,1,1.425
99,여성,53,서울,5,4,3,-9,0.771
100,남성,33,강원·제주,9,1,5,5,0.492
101,남성,25,경기·인천,1,1,4,4,2.049
102,남성,67,충청,5,4,1,2,0.855
103,남성,57,서울,9,4,2,3,1.723
104,남성,69,경기·인천,7,2,2,3,0.453
105,남성,31,서울,1,1,1,2,0.731
106,여성,24,영남,8,2,3,2,0.69
107,남성,54,서울,9,3,2,4,0.51
108,남성,58,영남,-9,2,4,1,1.959
109,남성,36,강원·제주,4,4,3,2,2.051
110,남성,78,호남,3,5,-9,2,0.447
111,여성,25,영남,10,5,3,5,1.619
112,여성,63,강원·제주,5,3,5,4,1.313
113,남성,59,서울,10,5,2,4,1.086
114,여성,26,경기·인천,10,2,1,5,1.207
115,남성,44,강원·제주,3,3,4,4,1.346
116,남성,24,충청,9,5,4,3,2.063
117,남성,65,강원·제주,5,2,2,2,0.775
118,남성,78,호남,7,3,3,1,0.869
119,여성,40,서울,8,3,1,3,0.603
120,남성,52,경기·인천,9,2,3,-9,0.882
121,남성,55,호남,8,1,2,3,1.076
122,남성,44,영남,8,5,-9,1,2.066
123,남성,59,경기·인천,-9,1,1,1,0.738
124,남성,50,경기·인천,-9,2,5,4,1.163
125,남성,76,강원·제주,1,3,3,1,0.716
126,남성,51,서울,-9,2,-9,-9,0.683
127,남성,67,서울,7,3,5,1,0.539
128,남성,45,영남,2,4,3,5,1.628
129,남성,32,영남,3,1,4,1,1.271
130,남성,42,서울,9,5,3,1,1.531
131,여성,71,충청,5,4,2,1,1.071
132,여성,69,경기·인천,5,2,1,1,1.174
133,남성,43,강원·제주,6,5,5,-9,1.521
134,남성,19,강원·제주,4,2,-9,4,0.677
135,남성,79,서울,10,3,1,1,1.322
136,여성,19,충청,8,1,2,2,1.053
137,여성,75,강원·제주,10,2,4,5,0.627
138,여성,59,서울,5,4,2,5,1.088
139,여성,57,경기·인천,2,4,3,2,1.877
140,여성,26,강원·제주,0,4,4,1,0.687
141,여성,33,충청,5,1,5,5,0.427
142,남성,39,서울,0,1,3,-9,0.585
143,남성,19,강원·제주,4,2,3,5,2.076
144,여성,26,영남,3,4,1,3,1.759
145,남성,76,경기·인천,3,5,4,5,1.189
146,여성,21,서울,2,4,3,2,0.835
147,여성,46,서울,2,4,4,1,0.869
148,여성,24,경기·인천,0,3,-9,3,2.012
149,남성,55,충청,3,5,5,5,1.835
150,여성,25,무응답,9,3,5,1,1.892
151,여성,30,무응답,3,2,4,1,1.212
152,여성,51,호남,6,5,5,1,1.524
153,남성,55,경기·인천,-9,4,3,5,1.246
154,남성,19,무응답,9,4,1,5,1.781
155,남성,73,무응답,1,4,2,5,0.844
156,남성,50,서울,2,3,4,3,1.123
157,여성,36,강원·제주,6,4,2,1,1.588
158,남성,73,충청,10,4,3,1,1.304
159,남성,70,경기·인천,6,5,5,2,1.191
160,남성,33,서울,9,4,1,2,1.485
161,여성,28,서울,2,3,5,1,1.229
162,여성,32,경기·인천,0,3,1,3,1.44
163,여성,45,무응답,6,5,1,-9,1.473
164,여성,26,영남,0,2,3,3,1.701
165,남성,54,경기·인천,8,1,5,1,0.52
166,남성,55,충청,4,3,3,3,1.993
167,여성,66,영남,2,1,3,1,1.851
168,남성,79,서울,8,1,5,1,1.743
169,남성,33,경기·인천,6,4,1,3,1.92
170,여성,28,충청,8,-9,5,4,1.028
171,여성,77,경기·인천,2,3,4,5,1.766
172,여성,64,서울,6,3,3,-9,1.396
173,여성,29,호남,8,3,2,5,2.018
174,남성,78,강원·제주,-9,4,2,5,1.283
175,여성,60,영남,-9,3,4,2,1.507
176,여성,21,호남,5,2,3,5,1.566
177,여성,79,호남,1,4,3,5,0.592
178,여성,28,충청,6,2,1,3,1.331
179,남성,61,영남,-9,3,4,4,1.309
180,여성,43,호남,9,4,1,4,1.32
181,여성,39,호남,5,3,2,4,1.23
182,여성,51,서울,2,3,4,4,0.843
183,남성,45,서울,2,-9,4,2,1.449
184,남성,68,충청,-9,4,4,3,1.58
185,여성,49,서울,6,5,5,5,0.725
186,여성,24,충청,1,3,1,5,0.754
187,여성,31,호남,4,3,2,1,0.681
188,여성,42,영남,7,2,4,1,0.903
189,남성,55,충청,2,2,3,2,0.973
190,남성,75,경기·인천,1,5,4,3,0.525
191,여성,79,호남,10,2,2,-9,1.625
192,여성,59,충청,1,4,5,3,1.32
193,여성,76,영남,2,1,3,4,1.002
194,여성,46,무응답,10,1,-9,1,1.17
195,여성,71,충청,7,2,3,5,1.992
196,남성,78,경기·인천,5,1,5,2,1.254
197,여성,32,무응답,9,1,1,2,0.643
198,여성,42,충청,3,3,3,1,1.422
199,여성,76,강원·제주,9,5,5,5,0.547
200,남성,67,강원·제주,10,5,1,4,1.019
201,여성,51,무응답,6,1,5,4,1.09
202,남성,40,영남,2,4,2,4,0.727
203,남성,55,호남,7,2,3,4,0.901
204,남성,45,서울,1,1,4,2,0.686
205,남성,39,서울,10,4,3,2,2.029
206,남성,42,강원·제주,8,5,2,2,1.399
207,남성,79,서울,3,4,1,4,0.48
208,여성,57,호남,4,4,5,4,1.257
209,남성,48,강원·제주,0,3,2,5,1.111
210,여성,21,강원·제주,7,4,3,4,1.209
211,남성,32,호남,10,4,4,2,0.423
212,여성,35,영남,1,2,4,1,0.942
213,남성,61,강원·제주,1,2,5,4,1.253
214,여성,35,강원·제주,10,4,4,2,1.906
215,여성,62,충청,10,1,4,4,1.821
216,남성,79,서울,2,2,4,4,1.516
217,여성,76,호남,6,4,1,5,1.365
218,남성,55,충청,0,5,4,4,0.892
219,여성,75,충청,10,1,1,5,0.928
220,남성,50,경기·인천,9,3,3,4,2.081
221,여성,38,무응답,2,4,4,5,1.943
222,여성,32,강원·제주,0,1,4,1,1.632
223,여성,40,영남,7,5,2,2,2.038
224,남성,37,서울,10,-9,5,3,0.975
225,여성,55,경기·인천,10,3,2,3,1.994
226,여성,33,서울,9,1,3,1,1.781
227,남성,69,영남,9,4,1,4,2.053
228,남성,77,무응답,0,3,3,4,1.023
229,남성,21,경기·인천,9,4,3,5,1.305
230,남성,21,서울,0,2,5,2,0.502
231,여성,69,호남,7,2,4,5,1.607
232,남성,21,충청,3,1,5,3,1.724
233,여성,74,호남,0,1,1,1,1.582
234,여성,76,경기·인천,10,3,2,5,0.624
235,남성,50,서울,6,4,4,2,0.826
236,남성,31,영남,4,4,2,2,1.742
237,여성,68,영남,3,4,2,5,0.636
238,여성,25,무응답,-9,5,3,1,1.89
239,남성,26,충청,7,1,5,2,1.922
240,여성,47,영남,9,4,5,3,0.729
241,여성,42,서울,1,1,4,5,1.477
242,여성,21,충청,7,4,1,2,1.553
243,남성,76,호남,4,5,3,5,0.962
244,남성,52,충청,9,5,3,5,0.924
245,남성,73,서울,7,-9,4,5,1.758
246,남성,21,충청,4,5,5,-9,1.549
247,남성,40,서울,1,4,1,3,1.08
248,여성,28,무응답,0,4,3,5,1.206
249,여성,20,경기·인천,6,1,1,-9,1.855
250,여성,33,서울,0,1,2,1,0.422
251,여성,27,서울,2,3,5,1,0.872
252,남성,55,강원·제주,3,5,1,2,1.126
253,여성,21,서울,9,2,4,1,0.764
254,여성,57,호남,6,4,3,4,1.361
255,여성,37,경기·인천,0,4,2,3,1.794
256,여성,69,강원·제주,-9,5,2,3,1.378
257,여성,28,호남,0,4,5,1,1.012
258,여성,66,서울,6,1,3,1,1.2
259,남성,29,영남,8,4,5,2,1.861
260,남성,37,충청,2,5,3,4,0.617
261,남성,22,호남,10,4,3,-9,1.603
262,여성,40,강원·제주,3,4,5,3,0.729
263,여성,38,경기·인천,6,5,2,2,1.792
264,여성,69,호남,-9,3,1,2,0.76
265,남성,65,영남,10,1,3,1,1.927
266,여성,29,서울,4,3,2,2,1.712
267,여성,78,충청,8,2,2,4,1.46
268,남성,25,충청,1,1,4,3,1.963
269,남성,24,경기·인천,4,1,2,5,1.645
270,여성,64,충청,10,1,3,3,1.856
271,여성,36,경기·인천,8,4,2,5,1.046
272,여성,77,영남,0,1,2,3,1.356
273,남성,43,호남,7,5,1,1,1.19
274,여성,55,영남,6,5,5,1,0.634
275,여성,61,영남,1,-9,2,3,1.368
276,남성,48,서울,2,1,2,1,0.42
277,남성,38,호남,4,5,4,1,2.058
278,여성,36,영남,1,3,1,2,1.988
279,남성,40,서울,1,4,3,-9,0.942
280,여성,53,서울,10,4,5,1,1.669
281,남성,39,충청,8,5,5,3,0.485
282,여성,49,강원·제주,8,1,5,3,1.431
283,남성,33,호남,9,5,3,1,1.64
284,여성,45,영남,5,3,4,3,1.25
285,여성,52,경기·인천,5,1,5,2,0.859
286,여성,60,호남,-9,1,3,5,1.099
287,남성,62,서울,7,5,5,2,1.812
288,여성,22,영남,1,2,2,1,1.394
289,여성,29,충청,10,5,5,5,1.113
290,남성,34,호남,7,4,3,5,0.549
291,여성,78,무응답,2,2,1,1,1.25
292,남성,67,서울,5,3,4,5,1.117
293,여성,54,충청,8,5,2,2,1.893
294,남성,37,무응답,1,2,2,3,1.116
295,남성,29,경기·인천,7,4,1,4,1.207
296,여성,35,충청,2,3,5,1,1.186
297,여성,30,충청,5,3,4,-9,1.31
298,남성,66,강원·제주,2,3,4,1,0.935
299,남성,66,경기·인천,1,2,-9,3,1.498
300,남성,28,경기·인천,1,3,4,2,2.033
301,남성,32,강원·제주,3,3,5,1,0.697
302,남성,27,영남,8,2,-9,3,0.673
303,남성,67,영남,-9,3,4,5,0.92
304,여성,34,강원·제주,9,5,1,3,1.921
305,여성,23,경기·인천,-9,2,4,5,1.281
306,여성,75,호남,4,3,5,4,0.488
307,여성,42,호남,7,2,4,4,1.916
308,남성,26,충청,-9,1,2,1,0.584
309,여성,41,충청,9,4,1,4,2.057
310,남성,19,호남,4,5,3,4,0.968
311,남성,50,무응답,-9,4,1,2,1.361
312,남성,38,경기·인천,5,1,4,2,1.515
313,여성,60,경기·인천,6,4,4,5,1.725
314,남성,49,강원·제주,1,3,4,5,0.846
315,여성,41,경기·인천,4,4,4,2,0.873
316,여성,51,서울,3,2,1,4,0.794
317,여성,75,호남,3,2,2,2,0.488
318,여성,73,호남,5,2,-9,1,0.508
319,남성,43,경기·인천,3,3,1,5,1.123
320,여성,24,경기·인천,6,2,5,3,0.461
321,여성,29,강원·제주,4,4,2,3,1.068
322,남성,28,서울,2,5,5,5,1.382
323,여성,24,무응답,8,3,3,5,1.461
324,여성,37,충청,5,5,3,4,0.778
325,여성,67,호남,10,2,1,5,1.801
326,남성,65,영남,6,4,4,4,0.629
327,여성,28,충청,3,3,4,4,1.993
328,남성,47,영남,6,5,2,5,0.738
329,여성,26,충청,8,5,4,2,1.958
330,여성,30,영남,10,2,5,4,0.69
331,남성,73,영남,0,2,4,1,0.945
332,여성,52,강원·제주,1,2,5,4,0.822
333,남성,66,서울,0,4,3,3,1.548
334,여성,52,충청,0,4,5,3,0.62
335,남성,45,호남,0,3,3,5,0.544
336,여성,55,서울,1,2,2,2,0.901
337,남성,27,호남,3,3,2,4,1.025
338,여성,72,영남,2,2,1,3,1.262
339,여성,79,호남,3,2,3,4,1.272
340,남성,47,경기·인천,4,2,4,3,0.433
341,남성,27,영남,4,1,4,1,0.735
342,여성,79,충청,10,1,1,4,1.095
343,남성,71,충청,2,2,4,3,0.601
344,남성,66,강원·제주,9,4,5,2,1.325
345,여성,30,영남,8,4,2,4,0.965
346,남성,66,충청,5,4,5,2,1.694
347,여성,47,강원·제주,5,4,4,4,1.183
348,여성,62,영남,3,4,3,5,1.703
349,여성,20,호남,2,5,2,3,0.995
350,남성,38,경기·인천,5,5,2,2,1.371
351,여성,50,호남,6,3,3,2,0.677
352,여성,46,경기·인천,7,4,1,3,1.735
353,남성,73,경기·인천,3,3,4,4,0.885
354,여성,40,서울,-9,2,4,5,1.348
355,남성,55,서울,7,2,3,1,0.765
356,여성,72,호남,5,4,1,4,0.714
357,남성,34,충청,2,2,1,2,0.632
358,여성,22,호남,0,1,4,2,1.887
359,여성,73,경기·인천,3,2,4,1,0.73
360,남성,37,충청,5,5,3,1,1.483
361,여성,47,충청,4,1,2,5,1.178
362,여성,67,강원·제주,10,1,1,3,0.446
363,여성,39,서울,2,2,4,3,0.747
364,남성,61,호남,2,4,1,4,1.59
365,남성,55,영남,7,4,4,2,1.154
366,여성,32,무응답,7,1,2,4,1.645
367,남성,74,무응답,1,1,3,5,0.801
368,남성,20,서울,1,2,1,4,1.666
369,남성,62,무응답,8,-9,3,1,2.049
370,남성,44,강원·제주,5,2,5,5,1.982
371,여성,79,경기·인천,2,1,4,3,0.71
372,여성,55,무응답,10,1,3,4,1.878
373,남성,26,충청,2,4,5,3,1.694
374,남성,53,영남,2,1,4,4,1.957
375,여성,28,경기·인천,-9,3,4,1,0.609
376,남성,29,호남,6,-9,3,2,0.552
377,남성,52,영남,3,2,4,1,1.199
378,여성,73,서울,8,3,1,5,1.524
379,여성,22,무응답,9,2,5,4,2.011
380,여성,48,충청,-9,-9,4,4,1.526
381,남성,52,영남,-9,2,4,1,1.252
382,남성,56,강원·제주,1,3,4,5,1.999
383,남성,49,서울,9,1,1,4,1.066
384,여성,48,호남,-9,3,4,-9,1.972
385,여성,59,강원·제주,3,5,3,1,1.693
386,여성,49,영남,9,3,4,4,1.05
387,여성,58,강원·제주,0,2,1,1,1.643
388,여성,62,영남,1,3,1,2,1.012
389,여성,59,서울,10,3,3,1,0.909
390,여성,19,충청,3,2,-9,2,1.525
391,남성,76,경기·인천,10,5,3,4,1.467
392,여성,57,서울,5,4,4,4,1.48
393,여성,59,영남,5,4,3,5,1.72
394,여성,73,호남,2,4,4,1,1.922
395,남성,30,경기·인천,1,1,2,4,0.612
396,여성,63,호남,1,2,2,3,1.211
397,여성,39,호남,10,4,2,4,0.671
398,여성,32,영남,1,5,4,3,1.505
399,여성,70,충청,-9,5,1,3,1.392
400,남성,70,서울,1,3,2,5,0.946
401,남성,51,호남,9,4,1,2,1.851
402,남성,55,강원·제주,9,2,3,4,0.977
403,여성,70,강원·제주,-9,3,5,2,1.594
404,남성,37,경기·인천,4,3,3,2,0.465
405,여성,24,서울,10,4,5,5,1.364
406,남성,31,영남,4,2,1,4,1.482
407,여성,19,서울,1,3,5,3,0.401
408,여성,19,영남,5,3,1,3,0.843
409,여성,68,경기·인천,5,2,1,1,0.991
410,여성,39,경기·인천,3,2,4,1,0.84
411,남성,24,충청,7,3,5,4,0.573
412,여성,41,호남,0,2,1,1,1.127
413,남성,45,서울,8,2,2,3,1.843
414,여성,24,충청,4,3,2,2,1.954
415,남성,50,영남,1,2,1,5,2.085
416,여성,63,영남,8,-9,4,3,1.168
417,남성,32,강원·제주,7,1,1,3,1.834
418,남성,78,서울,10,-9,1,2,0.698
419,남성,67,충청,2,4,3,4,1.804
420,여성,23,강원·제주,7,-9,3,4,0.896
421,여성,56,충청,-9,1,5,1,1.306
422,여성,27,경기·인천,4,3,1,5,1.525
423,여성,41,영남,3,5,1,3,1.056
424,남성,62,서울,6,4,4,-9,1.606
425,남성,47,호남,8,3,3,5,2.047
426,남성,47,무응답,1,3,5,1,1.984
427,남성,40,충청,10,4,2,3,1.58
428,남성,26,호남,9,2,5,3,1.509
429,여성,68,강원·제주,5,5,1,3,0.737
430,여성,47,경기·인천,8,5,4,2,2.071
431,남성,44,호남,10,4,5,4,1.924
432,여성,66,충청,-9,4,1,1,1.764
433,여성,48,강원·제주,2,3,2,1,0.786
434,여성,66,충청,8,5,5,3,0.863
435,남성,35,충청,-9,3,3,2,0.429
436,남성,69,경기·인천,0,2,2,2,2.033
437,남성,22,서울,-9,4,5,5,0.947
438,남성,51,호남,7,1,3,5,0.4
439,남성,73,무응답,3,1,4,2,1.136
440,남성,75,강원·제주,9,3,2,5,1.03
441,여성,48,강원·제주,6,4,4,3,1.895
442,남성,35,충청,2,3,1,5,1.63
443,여성,38,호남,1,3,3,2,0.61
444,여성,58,호남,10,1,4,-9,0.817
445,남성,75,경기·인천,5,2,5,4,0.739
446,여성,24,충청,2,5,1,3,2.073
447,남성,41,강원·제주,10,4,3,1,2.079
448,남성,76,무응답,4,4,4,5,1.821
449,여성,75,호남,4,1,5,4,1.865
450,남성,26,무응답,6,5,1,1,1.29
451,여성,76,충청,10,1,2,2,1.129
452,남성,20,호남,2,1,1,4,1.583
453,남성,21,영남,8,3,3,3,1.581
454,남성,45,강원·제주,0,4,1,3,1.383
455,여성,49,충청,0,5,4,3,0.966
456,남성,22,경기·인천,10,3,3,1,1.231
457,여성,36,경기·인천,-9,4,2,3,1.775
458,여성,26,경기·인천,10,-9,5,5,0.513
459,여성,26,강원·제주,3,4,4,5,2.042
460,남성,31,강원·제주,-9,4,2,4,1.136
461,남성,47,강원·제주,1,4,2,4,1.184
462,여성,23,충청,3,1,5,2,2.057
463,여성,70,호남,6,3,5,1,1.22
464,여성,53,서울,3,5,5,4,1.481
465,남성,71,경기·인천,7,2,4,3,1.79
466,남성,79,강원·제주,10,3,1,4,2.063
467,여성,68,서울,8,2,5,5,0.962
468,남성,32,충청,6,2,1,1,1.41
469,여성,42,경기·인천,2,-9,3,4,0.627
470,남성,20,서울,7,4,3,1,1.682
471,여성,72,경기·인천,8,2,1,1,1.251
472,여성,74,서울,7,1,5,4,1.44
473,남성,47,호남,5,-9,3,1,0.769
474,남성,68,경기·인천,1,5,4,4,0.759
475,여성,59,경기·인천,3,2,1,4,1.598
476,여성,28,경기·인천,7,3,1,5,1.967
477,여성,57,충청,4,2,1,1,1.404
478,여성,71,경기·인천,5,5,2,5,1.821
479,남성,47,강원·제주,-9,2,3,5,1.001
480,여성,62,경기·인천,9,5,2,1,1.492
481,여성,72,서울,6,3,2,2,1.275
482,여성,72,서울,6,5,3,1,0.401
483,여성,38,호남,2,1,3,3,1.33
484,여성,35,강원·제주,3,1,3,5,1.493
485,남성,31,경기·인천,9,5,1,1,1.981
486,여성,26,충청,8,5,2,1,0.744
487,남성,42,충청,6,3,-9,2,1.922
488,남성,24,강원·제주,9,5,2,5,0.503
489,남성,69,호남,10,2,2,5,1.148
490,남성,76,서울,3,2,3,5,0.718
491,남성,41,호남,4,3,2,4,1.818
492,남성,45,호남,0,3,4,3,1.899
493,남성,45,영남,10,1,5,5,1.442
494,여성,25,영남,4,5,1,5,1.714
495,남성,75,경기·인천,2,5,1,1,0.439
496,여성,54,충청,4,2,3,5,1.02
497,여성,41,충청,2,2,3,4,1.645
498,남성,38,충청,10,3,1,5,1.235
499,여성,24,서울,6,1,2,2,1.703
500,여성,29,서울,2,3,4,3,1.577
